lid;nombre;cid
1;Museo del Louvre;3
2;Galeria Uffizi;2
3;La basilica de San Pedro;1
4;Museos Vaticanos;1
5;Royal Academy of Arts;9
6;Basilica de Santa Maria del Popolo;1
7;El Museo de Bellas Artes de Nancy;5
8;Museo de la Opera del duomo;2
9;Santa Maria del Fiore;2
10;Piazza di Floros;7
11;Piazza Navona;1
12;Iglesia de Santa Maria de la Victoria;1
13;Piazza della Minerva;1
14;Piazza San Pietro;1
15;Galeria Borghese;1
16;Museo de la ciudad de Bruselas;6
17;Santa Maria delle Grazie;10
18;Galeria de la Academia;2
19;San Pietro in Vincoli;1
20;Capilla Sixtina;1
21;Galeria de Pinturas de los Maestros Antiguos;8
22;Museo Conde;4
